보관소명,소재지,위도,경도,LCD,QR,설치대수
KEB은행 고대점,성북구,37.58644485,127.031601,,20,20
성북구보건소 건너편,성북구,37.60229111,127.0389786,,8,8
생명의 전화 종합복지관 앞 교차로,성북구,37.60390854,127.0373764,20,,20
한국과학기술연구원 중문,성북구,37.59732056,127.043808,,7,7
한국과학기술연구원 북문,성북구,37.60395813,127.0453415,10,,10
길음뉴타운푸르지오아파트 3단지,성북구,37.60935974,127.0181732,,10,10
월곡역 5번출구 앞,성북구,37.60108566,127.0412369,,10,10
석계역 4번출구 뒤,성북구,37.61478424,127.0670013,,18,18
래미안월곡아파트 입구,성북구,37.60853577,127.0363922,,10,10
성신여대입구역 5번출구,성북구,37.59282684,127.0162888,,13,13
성신여대입구역 3번출구 앞,성북구,37.59236526,127.0162888,,10,10
동선고가차도 초입,성북구,37.59415817,127.0189667,,10,10
돈암초교입구 버스정류장(한성대입구역 방면),성북구,37.59088135,127.0117035,,10,10
석관래미안아트리치,성북구,37.60646057,127.0616226,,10,10
성북청소년센터,성북구,37.61701202,127.0561676,,10,10
돈암삼성풍림아파트,성북구,37.5970993,127.0226288,,10,10
돈암육교 하단,성북구,37.59802628,127.0214081,,10,10
길음뉴타운 래미안9단지,성북구,37.60241699,127.0197144,,10,10
레미안장위포레카운티(102동),성북구,37.61817932,127.0518341,,20,20
레미안장위퍼스트하이(513동),성북구,37.61844254,127.0514526,,20,20
극동늘푸른아파트,중랑구,37.61473846,127.0763626,15,,15
금란주차장 앞,중랑구,37.60007095,127.1023331,10,,10
중화빌딩 앞 (동부시장),중랑구,37.59424973,127.0765762,15,,15
동일로 지하차도,중랑구,37.59529877,127.0800324,10,,10
망우역 1번출구,중랑구,37.59909821,127.0929489,10,,10
망우청소년수련관,중랑구,37.60625076,127.1082687,10,,10
먹골역 1번출구 뒤,중랑구,37.61151123,127.0778885,10,,10
먹골역 6번출구 앞,중랑구,37.61072159,127.0774765,10,,10
면목 대원칸타빌아파트,중랑구,37.57778168,127.0901871,10,,10
상봉시장앞 교차로 한성빌딩 앞,중랑구,37.59254074,127.0867386,10,,10
면목초등학교,중랑구,37.59096146,127.0870667,10,,10
봉화산역 5번출구 뒤,중랑구,37.61756134,127.0903091,10,,10
사가정역 1번출구,중랑구,37.58098984,127.0882416,,10,10
상봉역 3번출구,중랑구,37.59521866,127.0859985,8,,8
새솔초등학교,중랑구,37.61743927,127.1090164,10,,10
신내어울공원 앞,중랑구,37.61394501,127.097702,15,,15
신내역 4번출구,중랑구,37.61246109,127.1033783,13,,13
신내우디안아파트 1단지,중랑구,37.62009811,127.1064606,10,,10
양원역 2번출구,중랑구,37.6063118,127.1077423,10,,10
용마문화복지센터,중랑구,37.58745956,127.0959702,10,,10
면목도시개발아파트 1동 앞,중랑구,37.57358932,127.0868225,10,,10
용마산역 1번출구,중랑구,37.57429886,127.0869141,10,,10
원묵고등학교,중랑구,37.61602402,127.085968,10,,10
장안중학교,중랑구,37.59995651,127.0800018,15,,15
중랑구청,중랑구,37.60615158,127.092598,20,,20
중랑구청 사거리,중랑구,37.60649872,127.0954514,10,,10
중화역 2번출구,중랑구,37.60207748,127.0795822,10,,10
능산삼거리,중랑구,37.60868073,127.1007919,10,,10
영풍마드레빌,중랑구,37.60810089,127.101181,15,,15
늘푸른공원 앞,중랑구,37.5834198,127.0799255,15,,15
홈플러스 신내점 앞,중랑구,37.61616898,127.093483,15,,15
면목2동 사거리,중랑구,37.58637238,127.0800705,10,,10
신내능말공원,중랑구,37.61671066,127.110733,10,,10
중랑구 중소기업 창업센터,중랑구,37.59859085,127.0798187,8,,8
면목4치안센터,중랑구,37.57402802,127.0805435,10,,10
용마지구대,중랑구,37.5799408,127.0793991,10,,10
중랑전화국 교차로,중랑구,37.59130096,127.0803299,10,,10
면목역 3번출구,중랑구,37.58890152,127.0872803,15,,15
코스트코 상봉점,중랑구,37.59732056,127.089798,15,,15
상봉역 1번출구,중랑구,37.59655762,127.0858383,15,,15
화랑대역 7번출구,중랑구,37.61963654,127.0850449,10,,10
중랑세무서,중랑구,37.59275818,127.07267,10,,10
겸재교 진입부,중랑구,37.58565521,127.0750504,20,,20
중랑캠핑숲,중랑구,37.60460281,127.1092529,9,,9
한국전력공사(동대문 중랑지사),중랑구,37.6073494,127.0785904,10,,10
상봉역 2번 출구,중랑구,37.59632874,127.0858994,10,,10
상아빌딩(우림시장 교차로),중랑구,37.59511185,127.1003265,10,,10
동원사거리,중랑구,37.58975983,127.0932388,10,,10
상봉터미널2,중랑구,37.59733963,127.0930862,,9,9
용마한신아파트사거리,중랑구,37.58034897,127.0926514,10,,10
동양엔파트 앞,중랑구,37.593853,127.0750732,,12,12
동부시장 북문 앞,중랑구,37.59386826,127.0765228,,9,9
중랑구민회관,중랑구,37.57407761,127.0850067,,10,10
중화역 4번출구,중랑구,37.60305405,127.0790024,,15,15
중랑공영차고지 옆,중랑구,37.61314774,127.1051483,,10,10
